num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 5/4/2022; 4:30:48; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 5/4/2022; 4:40:56; 600; 600; 4829; 159436; 4519; 511; 0.00; 0.00; 0.00; 44330.00
3; ABC; 5/4/2022; 4:50:57; 1200; 600; 4201; 121155; 3266; 480; 0.00; 0.00; 0.00; 44330.00
4; ABC; 5/4/2022; 5:0:57; 1800; 600; 3806; 92031; 2805; 420; 0.00; 0.00; 0.00; 44330.00
5; ABC; 5/4/2022; 5:10:57; 2400; 600; 3806; 74759; 2411; 357; 0.00; 0.00; 0.00; 44330.00
6; ABC; 5/4/2022; 5:20:57; 3000; 600; 3688; 68071; 2385; 341; 0.00; 0.00; 0.00; 44330.00
7; ABC; 5/4/2022; 5:30:57; 3600; 600; 3661; 62156; 2225; 337; 0.00; 0.00; 0.00; 44330.00
8; ABC; 5/4/2022; 5:40:57; 4200; 600; 3702; 57458; 2249; 342; 0.00; 0.00; 0.00; 44330.00
9; ABC; 5/4/2022; 5:50:58; 4801; 600; 3565; 55691; 2281; 354; 0.00; 0.00; 0.00; 44330.00
10; ABC; 5/4/2022; 6:0:58; 5401; 600; 3669; 55698; 2187; 324; 0.00; 0.00; 0.00; 44330.00
11; ABC; 5/4/2022; 6:10:59; 6002; 600; 3705; 56585; 2163; 347; 0.00; 0.00; 0.00; 44330.00
12; ABC; 5/4/2022; 6:20:59; 6602; 600; 3665; 55058; 2217; 326; 0.00; 0.00; 0.00; 44330.00
13; ABC; 5/4/2022; 6:30:59; 7202; 600; 3739; 56828; 2187; 305; 0.00; 0.00; 0.00; 44330.00
14; ABC; 5/4/2022; 6:41:0; 7802; 600; 3634; 54846; 2250; 318; 0.00; 0.00; 0.00; 44330.00
15; ABC; 5/4/2022; 6:51:1; 8404; 600; 3568; 56317; 2298; 344; 0.00; 0.00; 0.00; 44330.00
16; ABC; 5/4/2022; 7:1:1; 9004; 600; 3784; 61694; 2383; 347; 0.00; 0.00; 0.00; 44330.00
17; ABC; 5/4/2022; 7:11:1; 9604; 600; 3951; 69763; 2527; 383; 0.00; 0.00; 0.00; 44330.00
