num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 4/2/2022; 13:20:23; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 4/2/2022; 13:30:32; 600; 600; 11423; 446615; 13895; 595; 0.00; 0.00; 0.00; 44330.00
3; ABC; 4/2/2022; 13:40:32; 1200; 600; 19477; 731493; 28768; 678; 0.00; 0.00; 0.00; 44330.00
4; ABC; 4/2/2022; 13:50:33; 1801; 600; 28730; 979911; 45377; 669; 0.00; 0.00; 0.00; 44330.00
5; ABC; 4/2/2022; 14:0:33; 2401; 600; 36459; 1153083; 59458; 671; 0.00; 0.00; 0.00; 44330.00
6; ABC; 4/2/2022; 14:10:32; 3001; 600; 41397; 1267567; 68480; 658; 0.00; 0.00; 0.00; 44330.00
7; ABC; 4/2/2022; 14:20:33; 3601; 600; 46488; 1361094; 76654; 676; 0.00; 0.00; 0.00; 44330.00
8; ABC; 4/2/2022; 14:30:33; 4201; 600; 50268; 1425657; 84433; 668; 0.00; 0.00; 0.00; 44330.00
9; ABC; 4/2/2022; 14:40:33; 4801; 600; 52776; 1458138; 88973; 682; 0.00; 0.00; 0.00; 44330.00
10; ABC; 4/2/2022; 14:50:33; 5401; 600; 54242; 1464778; 91536; 690; 0.00; 0.00; 0.00; 44330.00
11; ABC; 4/2/2022; 15:0:33; 6001; 600; 55651; 1477226; 94365; 732; 0.00; 0.00; 0.00; 44330.00
12; ABC; 4/2/2022; 15:10:32; 6601; 600; 55938; 1484233; 95926; 639; 0.00; 0.00; 0.00; 44330.00
13; ABC; 4/2/2022; 15:20:33; 7202; 600; 56723; 1482810; 94808; 693; 0.00; 0.00; 0.00; 44330.00
14; ABC; 4/2/2022; 15:30:34; 7802; 600; 57151; 1477934; 92031; 699; 0.00; 0.00; 0.00; 44330.00
15; ABC; 4/2/2022; 15:40:35; 8403; 600; 57201; 1485487; 90667; 667; 0.00; 0.00; 0.00; 44330.00
16; ABC; 4/2/2022; 15:50:36; 9005; 600; 58253; 1484453; 92534; 649; 0.00; 0.00; 0.00; 44330.00
17; ABC; 4/2/2022; 16:0:38; 9606; 600; 57690; 1488290; 96092; 663; 0.00; 0.00; 0.00; 44330.00
18; ABC; 4/2/2022; 16:10:37; 10206; 600; 57818; 1486038; 99115; 670; 0.00; 0.00; 0.00; 44330.00
19; ABC; 4/2/2022; 16:20:37; 10806; 600; 57658; 1483343; 99521; 701; 0.00; 0.00; 0.00; 44330.00
20; ABC; 4/2/2022; 16:30:37; 11406; 600; 57855; 1495379; 99377; 714; 0.00; 0.00; 0.00; 44330.00
