num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 4/2/2022; 8:19:5; 600; 600; 10189; 318295; 9304; 636; 0.00; 0.00; 0.00; 44330.00
2; ABC; 4/2/2022; 8:29:6; 1201; 600; 16506; 550991; 16378; 615; 0.00; 0.00; 0.00; 44330.00
3; ABC; 4/2/2022; 8:39:6; 1801; 600; 23494; 780259; 29128; 627; 0.00; 0.00; 0.00; 44330.00
4; ABC; 4/2/2022; 8:49:6; 2401; 600; 29133; 931902; 41008; 614; 0.00; 0.00; 0.00; 44330.00
5; ABC; 4/2/2022; 8:59:6; 3001; 600; 33508; 1024057; 48659; 631; 0.00; 0.00; 0.00; 44330.00
6; ABC; 4/2/2022; 9:9:6; 3601; 600; 35781; 1079396; 53731; 651; 0.00; 0.00; 0.00; 44330.00
7; ABC; 4/2/2022; 9:19:6; 4201; 600; 38108; 1131069; 57941; 629; 0.00; 0.00; 0.00; 44330.00
8; ABC; 4/2/2022; 9:29:6; 4801; 600; 39669; 1166124; 59459; 663; 0.00; 0.00; 0.00; 44330.00
9; ABC; 4/2/2022; 9:39:6; 5401; 600; 40904; 1186811; 60669; 664; 0.00; 0.00; 0.00; 44330.00
10; ABC; 4/2/2022; 9:49:6; 6001; 600; 42046; 1212527; 63753; 620; 0.00; 0.00; 0.00; 44330.00
