num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 5/2/2022; 13:5:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 5/2/2022; 13:15:55; 614; 600; 4706; 124313; 6314; 495; 0.00; 0.00; 0.00; 44330.00
3; ABC; 5/2/2022; 13:25:55; 1214; 600; 6301; 216235; 10708; 563; 0.00; 0.00; 0.00; 44330.00
4; ABC; 5/2/2022; 13:35:56; 1815; 600; 9534; 365242; 17826; 597; 0.00; 0.00; 0.00; 44330.00
5; ABC; 5/2/2022; 13:45:56; 2415; 600; 12869; 509575; 25913; 654; 0.00; 0.00; 0.00; 44330.00
6; ABC; 5/2/2022; 13:55:56; 3015; 600; 17266; 652761; 32252; 659; 0.00; 0.00; 0.00; 44330.00
7; ABC; 5/2/2022; 14:5:56; 3615; 600; 21477; 769996; 38241; 665; 0.00; 0.00; 0.00; 44330.00
8; ABC; 5/2/2022; 14:15:56; 4215; 600; 24803; 862719; 43139; 608; 0.00; 0.00; 0.00; 44330.00
9; ABC; 5/2/2022; 14:25:56; 4815; 600; 28124; 944172; 47744; 683; 0.00; 0.00; 0.00; 44330.00
10; ABC; 5/2/2022; 14:35:56; 5415; 600; 31247; 1010533; 52210; 652; 0.00; 0.00; 0.00; 44330.00
11; ABC; 5/2/2022; 14:45:56; 6015; 600; 32886; 1063017; 54556; 654; 0.00; 0.00; 0.00; 44330.00
12; ABC; 5/2/2022; 14:55:56; 6615; 600; 34533; 1096330; 55809; 681; 0.00; 0.00; 0.00; 44330.00
13; ABC; 5/2/2022; 15:5:56; 7215; 600; 35676; 1119507; 57800; 662; 0.00; 0.00; 0.00; 44330.00
14; ABC; 5/2/2022; 15:15:56; 7815; 600; 36296; 1139697; 58930; 660; 0.00; 0.00; 0.00; 44330.00
15; ABC; 5/2/2022; 15:25:56; 8416; 600; 36802; 1158235; 59681; 681; 0.00; 0.00; 0.00; 44330.00
16; ABC; 5/2/2022; 15:35:57; 9016; 600; 37304; 1162000; 59754; 667; 0.00; 0.00; 0.00; 44330.00
17; ABC; 5/2/2022; 15:45:57; 9616; 600; 37742; 1172330; 60016; 701; 0.00; 0.00; 0.00; 44330.00
18; ABC; 5/2/2022; 15:55:57; 10216; 600; 37675; 1173195; 59753; 655; 0.00; 0.00; 0.00; 44330.00
19; ABC; 5/2/2022; 16:5:57; 10816; 600; 38225; 1180139; 60424; 687; 0.00; 0.00; 0.00; 44330.00
20; ABC; 5/2/2022; 16:15:57; 11416; 600; 38171; 1183452; 60967; 688; 0.00; 0.00; 0.00; 44330.00
