num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 6/2/2022; 4:53:3; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 6/2/2022; 5:3:11; 600; 600; 9473; 351442; 4617; 549; 0.00; 0.00; 0.00; 44330.00
3; ABC; 6/2/2022; 5:13:12; 1200; 600; 10370; 400050; 4780; 566; 0.00; 0.00; 0.00; 44330.00
4; ABC; 6/2/2022; 5:23:11; 1800; 600; 11795; 466479; 5358; 598; 0.00; 0.00; 0.00; 44330.00
5; ABC; 6/2/2022; 5:33:12; 2400; 600; 13565; 552698; 7557; 606; 0.00; 0.00; 0.00; 44330.00
6; ABC; 6/2/2022; 5:43:13; 3002; 600; 15393; 630925; 10907; 625; 0.00; 0.00; 0.00; 44330.00
7; ABC; 6/2/2022; 5:53:14; 3602; 600; 17078; 690596; 14223; 606; 0.00; 0.00; 0.00; 44330.00
8; ABC; 6/2/2022; 6:3:14; 4202; 600; 17668; 722438; 15991; 592; 0.00; 0.00; 0.00; 44330.00
9; ABC; 6/2/2022; 6:13:14; 4802; 600; 18088; 728243; 14374; 648; 0.00; 0.00; 0.00; 44330.00
10; ABC; 6/2/2022; 6:23:14; 5402; 600; 16867; 674550; 9011; 587; 0.00; 0.00; 0.00; 44330.00
11; ABC; 6/2/2022; 6:33:14; 6002; 600; 15473; 621305; 7102; 629; 0.00; 0.00; 0.00; 44330.00
12; ABC; 6/2/2022; 6:43:15; 6603; 600; 15173; 608248; 7367; 621; 0.00; 0.00; 0.00; 44330.00
13; ABC; 6/2/2022; 6:53:15; 7203; 600; 15327; 612814; 7559; 585; 0.00; 0.00; 0.00; 44330.00
14; ABC; 6/2/2022; 7:3:15; 7803; 600; 15356; 616592; 8362; 630; 0.00; 0.00; 0.00; 44330.00
15; ABC; 6/2/2022; 7:13:15; 8403; 600; 14531; 588119; 6646; 592; 0.00; 0.00; 0.00; 44330.00
16; ABC; 6/2/2022; 7:23:15; 9003; 600; 13958; 563020; 6154; 581; 0.00; 0.00; 0.00; 44330.00
