num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 6/2/2022; 8:33:7; 600; 600; 408526; 10177; 9113; 583; 0.00; 0.00; 0.00; 44330.00
2; ABC; 6/2/2022; 8:43:7; 1200; 600; 493540; 12313; 12835; 593; 0.00; 0.00; 0.00; 44330.00
3; ABC; 6/2/2022; 8:53:7; 1800; 600; 553684; 14239; 16666; 626; 0.00; 0.00; 0.00; 44330.00
4; ABC; 6/2/2022; 9:3:8; 2401; 600; 598948; 15543; 20666; 596; 0.00; 0.00; 0.00; 44330.00
5; ABC; 6/2/2022; 9:13:8; 3001; 600; 630171; 16351; 22688; 631; 0.00; 0.00; 0.00; 44330.00
6; ABC; 6/2/2022; 9:23:9; 3602; 600; 646595; 17166; 24710; 615; 0.00; 0.00; 0.00; 44330.00
7; ABC; 6/2/2022; 9:33:10; 4203; 600; 661698; 17746; 26931; 644; 0.00; 0.00; 0.00; 44330.00
8; ABC; 6/2/2022; 9:43:10; 4803; 600; 688911; 18890; 29898; 658; 0.00; 0.00; 0.00; 44330.00
9; ABC; 6/2/2022; 9:53:10; 5403; 600; 714712; 19752; 31091; 664; 0.00; 0.00; 0.00; 44330.00
10; ABC; 6/2/2022; 10:3:10; 6003; 600; 731764; 19977; 30977; 652; 0.00; 0.00; 0.00; 44330.00
