num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 18/3/2022; 4:42:29; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 18/3/2022; 4:52:39; 600; 600; 6083; 164303; 6434; 544; 0.00; 0.00; 0.00; 44330.00
3; ABC; 18/3/2022; 5:2:40; 1201; 600; 6653; 186649; 6866; 562; 0.00; 0.00; 0.00; 44330.00
4; ABC; 18/3/2022; 5:12:41; 1802; 600; 7220; 214733; 6843; 540; 0.00; 0.00; 0.00; 44330.00
5; ABC; 18/3/2022; 5:22:42; 2403; 600; 7719; 236538; 7064; 594; 0.00; 0.00; 0.00; 44330.00
6; ABC; 18/3/2022; 5:32:42; 3004; 600; 8249; 260391; 7733; 630; 0.00; 0.00; 0.00; 44330.00
7; ABC; 18/3/2022; 5:42:43; 3604; 600; 8728; 285906; 8441; 614; 0.00; 0.00; 0.00; 44330.00
8; ABC; 18/3/2022; 5:52:43; 4204; 600; 9291; 310693; 8998; 591; 0.00; 0.00; 0.00; 44330.00
9; ABC; 18/3/2022; 6:2:43; 4804; 600; 9716; 325279; 9692; 657; 0.00; 0.00; 0.00; 44330.00
10; ABC; 18/3/2022; 6:12:43; 5404; 600; 9848; 335943; 10096; 594; 0.00; 0.00; 0.00; 44330.00
11; ABC; 18/3/2022; 6:22:43; 6004; 600; 9915; 350759; 10297; 604; 0.00; 0.00; 0.00; 44330.00
12; ABC; 18/3/2022; 6:32:43; 6604; 600; 10407; 362881; 10327; 639; 0.00; 0.00; 0.00; 44330.00
13; ABC; 18/3/2022; 6:42:43; 7204; 600; 10544; 365704; 10520; 690; 0.00; 0.00; 0.00; 44330.00
14; ABC; 18/3/2022; 6:52:43; 7804; 600; 10345; 366596; 9984; 619; 0.00; 0.00; 0.00; 44330.00
15; ABC; 18/3/2022; 7:2:43; 8404; 600; 10637; 368146; 10039; 640; 0.00; 0.00; 0.00; 44330.00
16; ABC; 18/3/2022; 7:12:43; 9004; 600; 10470; 367206; 9725; 634; 0.00; 0.00; 0.00; 44330.00
