num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 2/4/2022; 3:34:45; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 2/4/2022; 3:44:54; 600; 600; 8187; 161400; 6141; 606; 0.00; 0.00; 0.00; 44330.00
3; ABC; 2/4/2022; 3:54:54; 1200; 600; 8694; 176692; 5157; 626; 0.00; 0.00; 0.00; 44330.00
4; ABC; 2/4/2022; 4:4:54; 1800; 600; 10203; 213769; 5118; 573; 0.00; 0.00; 0.00; 44330.00
5; ABC; 2/4/2022; 4:14:54; 2400; 600; 11213; 224788; 4926; 548; 0.00; 0.00; 0.00; 44330.00
6; ABC; 2/4/2022; 4:24:54; 3000; 600; 11359; 215240; 4472; 513; 0.00; 0.00; 0.00; 44330.00
7; ABC; 2/4/2022; 4:34:54; 3600; 600; 11837; 222772; 4590; 542; 0.00; 0.00; 0.00; 44330.00
8; ABC; 2/4/2022; 4:44:54; 4200; 600; 11888; 223573; 4209; 535; 0.00; 0.00; 0.00; 44330.00
9; ABC; 2/4/2022; 4:54:54; 4800; 600; 12131; 225933; 4054; 553; 0.00; 0.00; 0.00; 44330.00
10; ABC; 2/4/2022; 5:4:54; 5400; 600; 12240; 222093; 3839; 503; 0.00; 0.00; 0.00; 44330.00
11; ABC; 2/4/2022; 5:14:54; 6000; 600; 12449; 218897; 3761; 497; 0.00; 0.00; 0.00; 44330.00
12; ABC; 2/4/2022; 5:24:54; 6600; 600; 12116; 211612; 3758; 479; 0.00; 0.00; 0.00; 44330.00
13; ABC; 2/4/2022; 5:34:55; 7200; 600; 11829; 198455; 3672; 457; 0.00; 0.00; 0.00; 44330.00
14; ABC; 2/4/2022; 5:44:55; 7801; 600; 11647; 191978; 3557; 472; 0.00; 0.00; 0.00; 44330.00
15; ABC; 2/4/2022; 5:54:55; 8401; 600; 11636; 188912; 3614; 439; 0.00; 0.00; 0.00; 44330.00
