num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 28/3/2022; 4:2:20; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 28/3/2022; 4:12:29; 600; 600; 4424; 140649; 3928; 504; 0.00; 0.00; 0.00; 44330.00
3; ABC; 28/3/2022; 4:22:29; 1200; 600; 4198; 112745; 3140; 481; 0.00; 0.00; 0.00; 44330.00
4; ABC; 28/3/2022; 4:32:29; 1800; 600; 3952; 93739; 2564; 382; 0.00; 0.00; 0.00; 44330.00
5; ABC; 28/3/2022; 4:42:29; 2400; 600; 3586; 77204; 2340; 353; 0.00; 0.00; 0.00; 44330.00
6; ABC; 28/3/2022; 4:52:29; 3000; 600; 3509; 65884; 2214; 301; 0.00; 0.00; 0.00; 44330.00
7; ABC; 28/3/2022; 5:2:28; 3600; 600; 3321; 59935; 2078; 290; 0.00; 0.00; 0.00; 44330.00
8; ABC; 28/3/2022; 5:12:29; 4200; 600; 3479; 57122; 2041; 274; 0.00; 0.00; 0.00; 44330.00
9; ABC; 28/3/2022; 5:22:29; 4800; 600; 3441; 56244; 2011; 279; 0.00; 0.00; 0.00; 44330.00
10; ABC; 28/3/2022; 5:32:29; 5400; 600; 3468; 55358; 2057; 299; 0.00; 0.00; 0.00; 44330.00
11; ABC; 28/3/2022; 5:42:29; 6000; 600; 3446; 54311; 2122; 300; 0.00; 0.00; 0.00; 44330.00
12; ABC; 28/3/2022; 5:52:30; 6601; 600; 3460; 53095; 2086; 277; 0.00; 0.00; 0.00; 44330.00
13; ABC; 28/3/2022; 6:2:30; 7201; 600; 3383; 50391; 2025; 302; 0.00; 0.00; 0.00; 44330.00
14; ABC; 28/3/2022; 6:12:30; 7801; 600; 3296; 48821; 2022; 267; 0.00; 0.00; 0.00; 44330.00
15; ABC; 28/3/2022; 6:22:30; 8401; 600; 3473; 48778; 2211; 294; 0.00; 0.00; 0.00; 44330.00
16; ABC; 28/3/2022; 6:32:31; 9002; 600; 3356; 48144; 2113; 280; 0.00; 0.00; 0.00; 44330.00
17; ABC; 28/3/2022; 6:42:31; 9602; 600; 3366; 49096; 2221; 336; 0.00; 0.00; 0.00; 44330.00
18; ABC; 28/3/2022; 6:52:31; 10202; 600; 3368; 49609; 2272; 314; 0.00; 0.00; 0.00; 44330.00
19; ABC; 28/3/2022; 7:2:31; 10802; 600; 3424; 50488; 2236; 294; 0.00; 0.00; 0.00; 44330.00
20; ABC; 28/3/2022; 7:12:32; 11403; 600; 3426; 52405; 2262; 296; 0.00; 0.00; 0.00; 44330.00
21; ABC; 28/3/2022; 7:22:32; 12003; 600; 3357; 53381; 2120; 308; 0.00; 0.00; 0.00; 44330.00
22; ABC; 28/3/2022; 7:32:33; 12603; 600; 3421; 53600; 2299; 319; 0.00; 0.00; 0.00; 44330.00
23; ABC; 28/3/2022; 7:42:34; 13205; 600; 3564; 56154; 2450; 342; 0.00; 0.00; 0.00; 44330.00
24; ABC; 28/3/2022; 7:52:34; 13805; 600; 3446; 59441; 2491; 319; 0.00; 0.00; 0.00; 44330.00
25; ABC; 28/3/2022; 8:2:34; 14405; 600; 3553; 65864; 2735; 387; 0.00; 0.00; 0.00; 44330.00
26; ABC; 28/3/2022; 8:12:34; 15005; 600; 3697; 71951; 2911; 381; 0.00; 0.00; 0.00; 44330.00
27; ABC; 28/3/2022; 8:22:34; 15605; 600; 3839; 78776; 3105; 405; 0.00; 0.00; 0.00; 44330.00
28; ABC; 28/3/2022; 8:32:34; 16205; 600; 3776; 85004; 3333; 412; 0.00; 0.00; 0.00; 44330.00
29; ABC; 28/3/2022; 8:42:35; 16805; 600; 3893; 89581; 3460; 438; 0.00; 0.00; 0.00; 44330.00
30; ABC; 28/3/2022; 8:52:35; 17406; 600; 3908; 94675; 3660; 465; 0.00; 0.00; 0.00; 44330.00
31; ABC; 28/3/2022; 9:2:35; 18006; 600; 4065; 97915; 3839; 490; 0.00; 0.00; 0.00; 44330.00
32; ABC; 28/3/2022; 9:12:35; 18606; 600; 4151; 102229; 3944; 495; 0.00; 0.00; 0.00; 44330.00
33; ABC; 28/3/2022; 9:22:36; 19206; 600; 4283; 108501; 4098; 478; 0.00; 0.00; 0.00; 44330.00
