num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 3/4/2022; 3:45:53; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 3/4/2022; 3:56:2; 600; 600; 5460; 130925; 5506; 504; 0.00; 0.00; 0.00; 44330.00
3; ABC; 3/4/2022; 4:6:2; 1200; 600; 5767; 142631; 6029; 561; 0.00; 0.00; 0.00; 44330.00
4; ABC; 3/4/2022; 4:16:2; 1800; 600; 6121; 154732; 5999; 551; 0.00; 0.00; 0.00; 44330.00
5; ABC; 3/4/2022; 4:26:2; 2400; 600; 6276; 163106; 6036; 518; 0.00; 0.00; 0.00; 44330.00
6; ABC; 3/4/2022; 4:36:3; 3001; 600; 6359; 167123; 6061; 558; 0.00; 0.00; 0.00; 44330.00
7; ABC; 3/4/2022; 4:46:3; 3601; 600; 6472; 164093; 5363; 513; 0.00; 0.00; 0.00; 44330.00
8; ABC; 3/4/2022; 4:56:4; 4201; 600; 6388; 163526; 5360; 562; 0.00; 0.00; 0.00; 44330.00
9; ABC; 3/4/2022; 5:6:4; 4802; 600; 6418; 163351; 5216; 547; 0.00; 0.00; 0.00; 44330.00
10; ABC; 3/4/2022; 5:16:5; 5403; 600; 6428; 160465; 5441; 507; 0.00; 0.00; 0.00; 44330.00
11; ABC; 3/4/2022; 5:26:5; 6003; 600; 6465; 156212; 5677; 579; 0.00; 0.00; 0.00; 44330.00
12; ABC; 3/4/2022; 5:36:5; 6603; 600; 6331; 148501; 5500; 565; 0.00; 0.00; 0.00; 44330.00
13; ABC; 3/4/2022; 5:46:5; 7203; 600; 6099; 137790; 4712; 526; 0.00; 0.00; 0.00; 44330.00
14; ABC; 3/4/2022; 5:56:6; 7803; 600; 6103; 121395; 3796; 463; 0.00; 0.00; 0.00; 44330.00
15; ABC; 3/4/2022; 6:6:7; 8404; 600; 5872; 107272; 3209; 419; 0.00; 0.00; 0.00; 44330.00
16; ABC; 3/4/2022; 6:16:7; 9005; 600; 5809; 96600; 2893; 379; 0.00; 0.00; 0.00; 44330.00
17; ABC; 3/4/2022; 6:26:7; 9605; 600; 5719; 87719; 2708; 375; 0.00; 0.00; 0.00; 44330.00
18; ABC; 3/4/2022; 6:36:7; 10205; 600; 5699; 81407; 2618; 319; 0.00; 0.00; 0.00; 44330.00
19; ABC; 3/4/2022; 6:46:7; 10805; 600; 5615; 77718; 2507; 357; 0.00; 0.00; 0.00; 44330.00
20; ABC; 3/4/2022; 6:56:7; 11405; 600; 5512; 73294; 2408; 351; 0.00; 0.00; 0.00; 44330.00
21; ABC; 3/4/2022; 7:6:7; 12005; 600; 5444; 70817; 2457; 308; 0.00; 0.00; 0.00; 44330.00
