num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 10/2/2022; 11:26:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 10/2/2022; 11:36:40; 600; 600; 4961; 186212; 5048; 535; 0.00; 0.00; 0.00; 44330.00
3; ABC; 10/2/2022; 11:46:41; 1200; 600; 6949; 298945; 8705; 600; 0.00; 0.00; 0.00; 44330.00
4; ABC; 10/2/2022; 11:56:41; 1800; 600; 9088; 417668; 13673; 596; 0.00; 0.00; 0.00; 44330.00
5; ABC; 10/2/2022; 12:6:41; 2401; 600; 11545; 514998; 18277; 662; 0.00; 0.00; 0.00; 44330.00
6; ABC; 10/2/2022; 12:16:42; 3001; 600; 13176; 582630; 21697; 600; 0.00; 0.00; 0.00; 44330.00
7; ABC; 10/2/2022; 12:26:42; 3602; 600; 14673; 628309; 24482; 663; 0.00; 0.00; 0.00; 44330.00
8; ABC; 10/2/2022; 12:36:43; 4202; 600; 15419; 660436; 26298; 620; 0.00; 0.00; 0.00; 44330.00
9; ABC; 10/2/2022; 12:46:42; 4802; 600; 15942; 682749; 27605; 664; 0.00; 0.00; 0.00; 44330.00
10; ABC; 10/2/2022; 12:56:43; 5402; 600; 16542; 696914; 27971; 611; 0.00; 0.00; 0.00; 44330.00
11; ABC; 10/2/2022; 13:6:43; 6002; 600; 16755; 702065; 28293; 603; 0.00; 0.00; 0.00; 44330.00
12; ABC; 10/2/2022; 13:16:43; 6602; 600; 16948; 710179; 28849; 641; 0.00; 0.00; 0.00; 44330.00
13; ABC; 10/2/2022; 13:26:43; 7202; 600; 16864; 705414; 28434; 618; 0.00; 0.00; 0.00; 44330.00
14; ABC; 10/2/2022; 13:36:43; 7802; 600; 16583; 706614; 29061; 612; 0.00; 0.00; 0.00; 44330.00
15; ABC; 10/2/2022; 13:46:43; 8402; 600; 16624; 704175; 29209; 634; 0.00; 0.00; 0.00; 44330.00
16; ABC; 10/2/2022; 13:56:43; 9002; 600; 16735; 703300; 29617; 594; 0.00; 0.00; 0.00; 44330.00
17; ABC; 10/2/2022; 14:6:43; 9602; 600; 16543; 706386; 30100; 675; 0.00; 0.00; 0.00; 44330.00
18; ABC; 10/2/2022; 14:16:43; 10202; 600; 16604; 709764; 30581; 622; 0.00; 0.00; 0.00; 44330.00
19; ABC; 10/2/2022; 14:26:43; 10802; 600; 16514; 711425; 31258; 636; 0.00; 0.00; 0.00; 44330.00
20; ABC; 10/2/2022; 14:36:43; 11402; 600; 16660; 717657; 32095; 636; 0.00; 0.00; 0.00; 44330.00
21; ABC; 10/2/2022; 14:46:44; 12003; 600; 16829; 721715; 32564; 658; 0.00; 0.00; 0.00; 44330.00
22; ABC; 10/2/2022; 14:56:44; 12603; 600; 16960; 722726; 32416; 622; 0.00; 0.00; 0.00; 44330.00
23; ABC; 10/2/2022; 15:6:44; 13203; 600; 17149; 722586; 31646; 641; 0.00; 0.00; 0.00; 44330.00
24; ABC; 10/2/2022; 15:16:44; 13803; 600; 17106; 722444; 31903; 640; 0.00; 0.00; 0.00; 44330.00
25; ABC; 10/2/2022; 15:26:45; 14403; 600; 17409; 725730; 31479; 668; 0.00; 0.00; 0.00; 44330.00
26; ABC; 10/2/2022; 15:36:45; 15004; 600; 17121; 725480; 31532; 625; 0.00; 0.00; 0.00; 44330.00
27; ABC; 10/2/2022; 15:46:45; 15604; 600; 17050; 728017; 31904; 605; 0.00; 0.00; 0.00; 44330.00
28; ABC; 10/2/2022; 15:56:45; 16204; 600; 17087; 729412; 31353; 671; 0.00; 0.00; 0.00; 44330.00
29; ABC; 10/2/2022; 16:6:45; 16804; 600; 17178; 728474; 32034; 613; 0.00; 0.00; 0.00; 44330.00
