num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 21/2/2022; 3:14:58; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 21/2/2022; 3:25:8; 601; 600; 7723; 210888; 7788; 427; 0.00; 0.00; 0.00; 44330.00
3; ABC; 21/2/2022; 3:35:8; 1201; 600; 7181; 204516; 7471; 383; 0.00; 0.00; 0.00; 44330.00
4; ABC; 21/2/2022; 3:45:8; 1801; 600; 6850; 196829; 7084; 419; 0.00; 0.00; 0.00; 44330.00
5; ABC; 21/2/2022; 3:55:8; 2401; 600; 6491; 188919; 6673; 375; 0.00; 0.00; 0.00; 44330.00
6; ABC; 21/2/2022; 4:5:8; 3001; 600; 6471; 180811; 6653; 362; 0.00; 0.00; 0.00; 44330.00
7; ABC; 21/2/2022; 4:15:9; 3601; 600; 6224; 177153; 6562; 406; 0.00; 0.00; 0.00; 44330.00
8; ABC; 21/2/2022; 4:25:10; 4202; 600; 6096; 172100; 6367; 404; 0.00; 0.00; 0.00; 44330.00
9; ABC; 21/2/2022; 4:35:10; 4803; 600; 5919; 166963; 6210; 396; 0.00; 0.00; 0.00; 44330.00
10; ABC; 21/2/2022; 4:45:10; 5403; 600; 5882; 165287; 6238; 405; 0.00; 0.00; 0.00; 44330.00
11; ABC; 21/2/2022; 4:55:11; 6003; 600; 5811; 162692; 6224; 392; 0.00; 0.00; 0.00; 44330.00
12; ABC; 21/2/2022; 5:5:11; 6603; 600; 5851; 160978; 6190; 413; 0.00; 0.00; 0.00; 44330.00
13; ABC; 21/2/2022; 5:15:11; 7204; 600; 5689; 159958; 6219; 372; 0.00; 0.00; 0.00; 44330.00
14; ABC; 21/2/2022; 5:25:12; 7804; 600; 5752; 158283; 6116; 390; 0.00; 0.00; 0.00; 44330.00
15; ABC; 21/2/2022; 5:35:12; 8404; 600; 5711; 156972; 6179; 373; 0.00; 0.00; 0.00; 44330.00
16; ABC; 21/2/2022; 5:45:13; 9006; 600; 5609; 155159; 6063; 385; 0.00; 0.00; 0.00; 44330.00
17; ABC; 21/2/2022; 5:55:14; 9606; 600; 5728; 152735; 5990; 407; 0.00; 0.00; 0.00; 44330.00
18; ABC; 21/2/2022; 6:5:14; 10206; 600; 5808; 152587; 5919; 413; 0.00; 0.00; 0.00; 44330.00
19; ABC; 21/2/2022; 6:15:14; 10807; 600; 5644; 151531; 5867; 419; 0.00; 0.00; 0.00; 44330.00
20; ABC; 21/2/2022; 6:25:15; 11407; 600; 5696; 149141; 5943; 374; 0.00; 0.00; 0.00; 44330.00
21; ABC; 21/2/2022; 6:35:15; 12007; 600; 5651; 149005; 5948; 398; 0.00; 0.00; 0.00; 44330.00
22; ABC; 21/2/2022; 6:45:16; 12608; 600; 5654; 148528; 5974; 385; 0.00; 0.00; 0.00; 44330.00
23; ABC; 21/2/2022; 6:55:16; 13208; 600; 5439; 147323; 5836; 382; 0.00; 0.00; 0.00; 44330.00
24; ABC; 21/2/2022; 7:5:17; 13809; 600; 5759; 147715; 5893; 377; 0.00; 0.00; 0.00; 44330.00
25; ABC; 21/2/2022; 7:15:17; 14409; 600; 5462; 146838; 5860; 363; 0.00; 0.00; 0.00; 44330.00
26; ABC; 21/2/2022; 7:25:17; 15010; 600; 5517; 146147; 5824; 419; 0.00; 0.00; 0.00; 44330.00
27; ABC; 21/2/2022; 7:35:18; 15610; 600; 5777; 145297; 5822; 384; 0.00; 0.00; 0.00; 44330.00
28; ABC; 21/2/2022; 7:45:18; 16210; 600; 5561; 145597; 5851; 369; 0.00; 0.00; 0.00; 44330.00
29; ABC; 21/2/2022; 7:55:18; 16811; 600; 5515; 143996; 5773; 385; 0.00; 0.00; 0.00; 44330.00
30; ABC; 21/2/2022; 8:5:19; 17411; 600; 5430; 143752; 5815; 362; 0.00; 0.00; 0.00; 44330.00
31; ABC; 21/2/2022; 8:15:19; 18011; 600; 5593; 142957; 5960; 391; 0.00; 0.00; 0.00; 44330.00
32; ABC; 21/2/2022; 8:25:19; 18611; 600; 5442; 142900; 5834; 389; 0.00; 0.00; 0.00; 44330.00
33; ABC; 21/2/2022; 8:35:20; 19212; 600; 5552; 141846; 5801; 409; 0.00; 0.00; 0.00; 44330.00
34; ABC; 21/2/2022; 8:45:20; 19812; 600; 5484; 142048; 5793; 346; 0.00; 0.00; 0.00; 44330.00
35; ABC; 21/2/2022; 8:55:20; 20412; 600; 5542; 141316; 5803; 411; 0.00; 0.00; 0.00; 44330.00
36; ABC; 21/2/2022; 9:5:20; 21012; 600; 5430; 140670; 5840; 369; 0.00; 0.00; 0.00; 44330.00
37; ABC; 21/2/2022; 9:15:21; 21612; 600; 5501; 141662; 5752; 374; 0.00; 0.00; 0.00; 44330.00
38; ABC; 21/2/2022; 9:25:21; 22213; 600; 5492; 140631; 5851; 394; 0.00; 0.00; 0.00; 44330.00
39; ABC; 21/2/2022; 9:35:21; 22813; 600; 5548; 140534; 5927; 375; 0.00; 0.00; 0.00; 44330.00
40; ABC; 21/2/2022; 9:45:21; 23413; 600; 5517; 139669; 5876; 371; 0.00; 0.00; 0.00; 44330.00
