num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 5/2/2022; 4:47:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 5/2/2022; 4:57:45; 604; 600; 8549; 322561; 10058; 647; 0.00; 0.00; 0.00; 44330.00
3; ABC; 5/2/2022; 5:7:45; 1205; 600; 12705; 486855; 13632; 635; 0.00; 0.00; 0.00; 44330.00
4; ABC; 5/2/2022; 5:17:46; 1805; 600; 17001; 643718; 16616; 636; 0.00; 0.00; 0.00; 44330.00
5; ABC; 5/2/2022; 5:27:45; 2405; 600; 19387; 711007; 13262; 651; 0.00; 0.00; 0.00; 44330.00
6; ABC; 5/2/2022; 5:37:46; 3005; 600; 21504; 755393; 13321; 640; 0.00; 0.00; 0.00; 44330.00
7; ABC; 5/2/2022; 5:47:46; 3605; 600; 23775; 810159; 15840; 641; 0.00; 0.00; 0.00; 44330.00
8; ABC; 5/2/2022; 5:57:46; 4205; 600; 25945; 862047; 15520; 651; 0.00; 0.00; 0.00; 44330.00
9; ABC; 5/2/2022; 6:7:47; 4806; 600; 26851; 877110; 11995; 644; 0.00; 0.00; 0.00; 44330.00
10; ABC; 5/2/2022; 6:17:47; 5406; 600; 27451; 874488; 11252; 640; 0.00; 0.00; 0.00; 44330.00
11; ABC; 5/2/2022; 6:27:47; 6006; 600; 26904; 870376; 10832; 610; 0.00; 0.00; 0.00; 44330.00
12; ABC; 5/2/2022; 6:37:48; 6607; 600; 25635; 819125; 8094; 664; 0.00; 0.00; 0.00; 44330.00
13; ABC; 5/2/2022; 6:47:48; 7207; 600; 23883; 768692; 8605; 619; 0.00; 0.00; 0.00; 44330.00
14; ABC; 5/2/2022; 6:57:49; 7808; 600; 23356; 755557; 9303; 670; 0.00; 0.00; 0.00; 44330.00
