num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 5/2/2022; 8:10:57; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 5/2/2022; 8:21:6; 600; 600; 15643; 698995; 20371; 607; 0.00; 0.00; 0.00; 44330.00
3; ABC; 5/2/2022; 8:31:6; 1200; 600; 18041; 767067; 25568; 601; 0.00; 0.00; 0.00; 44330.00
4; ABC; 5/2/2022; 8:41:6; 1800; 600; 20439; 827556; 29370; 643; 0.00; 0.00; 0.00; 44330.00
5; ABC; 5/2/2022; 8:51:6; 2400; 600; 22093; 872652; 33584; 705; 0.00; 0.00; 0.00; 44330.00
6; ABC; 5/2/2022; 9:1:6; 3000; 600; 23899; 910814; 37034; 666; 0.00; 0.00; 0.00; 44330.00
7; ABC; 5/2/2022; 9:11:6; 3601; 600; 25270; 951389; 40171; 705; 0.00; 0.00; 0.00; 44330.00
8; ABC; 5/2/2022; 9:21:7; 4201; 600; 26665; 982616; 43073; 646; 0.00; 0.00; 0.00; 44330.00
9; ABC; 5/2/2022; 9:31:8; 4802; 600; 27959; 1017001; 47808; 672; 0.00; 0.00; 0.00; 44330.00
10; ABC; 5/2/2022; 9:41:8; 5402; 600; 29389; 1040281; 51624; 683; 0.00; 0.00; 0.00; 44330.00
11; ABC; 5/2/2022; 9:51:8; 6002; 600; 29235; 1056034; 52904; 671; 0.00; 0.00; 0.00; 44330.00
12; ABC; 5/2/2022; 10:1:8; 6602; 600; 29690; 1078269; 54579; 643; 0.00; 0.00; 0.00; 44330.00
13; ABC; 5/2/2022; 10:11:8; 7202; 600; 30363; 1091022; 55901; 633; 0.00; 0.00; 0.00; 44330.00
14; ABC; 5/2/2022; 10:21:8; 7802; 600; 31441; 1108269; 57583; 663; 0.00; 0.00; 0.00; 44330.00
