num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 27/3/2022; 4:8:56; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 27/3/2022; 4:19:5; 600; 600; 5821; 144651; 5473; 513; 0.00; 0.00; 0.00; 44330.00
3; ABC; 27/3/2022; 4:29:5; 1200; 600; 6022; 157578; 5769; 580; 0.00; 0.00; 0.00; 44330.00
4; ABC; 27/3/2022; 4:39:5; 1800; 600; 6426; 176356; 5939; 554; 0.00; 0.00; 0.00; 44330.00
5; ABC; 27/3/2022; 4:49:5; 2400; 600; 6641; 194047; 6358; 558; 0.00; 0.00; 0.00; 44330.00
6; ABC; 27/3/2022; 4:59:6; 3001; 600; 6748; 202702; 6645; 559; 0.00; 0.00; 0.00; 44330.00
7; ABC; 27/3/2022; 5:9:6; 3601; 600; 6866; 204067; 6157; 538; 0.00; 0.00; 0.00; 44330.00
8; ABC; 27/3/2022; 5:19:7; 4202; 600; 7014; 206570; 6418; 579; 0.00; 0.00; 0.00; 44330.00
9; ABC; 27/3/2022; 5:29:7; 4802; 600; 7099; 212041; 6667; 568; 0.00; 0.00; 0.00; 44330.00
10; ABC; 27/3/2022; 5:39:7; 5402; 600; 7186; 211576; 6959; 627; 0.00; 0.00; 0.00; 44330.00
11; ABC; 27/3/2022; 5:49:7; 6002; 600; 7031; 213436; 6855; 598; 0.00; 0.00; 0.00; 44330.00
12; ABC; 27/3/2022; 5:59:8; 6603; 600; 7167; 214318; 7004; 585; 0.00; 0.00; 0.00; 44330.00
13; ABC; 27/3/2022; 6:9:8; 7203; 600; 7319; 218741; 7053; 607; 0.00; 0.00; 0.00; 44330.00
14; ABC; 27/3/2022; 6:19:8; 7803; 600; 7277; 221436; 6819; 561; 0.00; 0.00; 0.00; 44330.00
15; ABC; 27/3/2022; 6:29:8; 8403; 600; 7278; 223460; 6672; 552; 0.00; 0.00; 0.00; 44330.00
16; ABC; 27/3/2022; 6:39:8; 9003; 600; 7317; 223564; 5771; 570; 0.00; 0.00; 0.00; 44330.00
17; ABC; 27/3/2022; 6:49:9; 9603; 600; 7506; 222078; 6090; 551; 0.00; 0.00; 0.00; 44330.00
18; ABC; 27/3/2022; 6:59:9; 10204; 600; 7421; 222606; 6312; 592; 0.00; 0.00; 0.00; 44330.00
19; ABC; 27/3/2022; 7:9:9; 10804; 600; 7179; 217730; 6321; 544; 0.00; 0.00; 0.00; 44330.00
20; ABC; 27/3/2022; 7:19:10; 11404; 600; 7313; 210767; 6214; 565; 0.00; 0.00; 0.00; 44330.00
