num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 1/4/2022; 4:12:45; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 1/4/2022; 4:22:54; 600; 600; 5598; 133955; 4943; 477; 0.00; 0.00; 0.00; 44330.00
3; ABC; 1/4/2022; 4:32:54; 1200; 600; 5602; 127937; 3780; 448; 0.00; 0.00; 0.00; 44330.00
4; ABC; 1/4/2022; 4:42:54; 1800; 600; 5641; 118849; 3379; 445; 0.00; 0.00; 0.00; 44330.00
5; ABC; 1/4/2022; 4:52:54; 2400; 600; 5477; 104331; 2982; 392; 0.00; 0.00; 0.00; 44330.00
6; ABC; 1/4/2022; 5:2:55; 3001; 600; 5565; 98322; 2768; 375; 0.00; 0.00; 0.00; 44330.00
7; ABC; 1/4/2022; 5:12:55; 3601; 600; 5481; 95002; 2758; 337; 0.00; 0.00; 0.00; 44330.00
8; ABC; 1/4/2022; 5:22:55; 4201; 600; 5841; 109859; 3356; 434; 0.00; 0.00; 0.00; 44330.00
9; ABC; 1/4/2022; 5:32:55; 4801; 600; 5953; 124448; 3536; 446; 0.00; 0.00; 0.00; 44330.00
10; ABC; 1/4/2022; 5:42:55; 5401; 600; 6066; 133238; 3728; 458; 0.00; 0.00; 0.00; 44330.00
11; ABC; 1/4/2022; 5:52:56; 6002; 600; 6096; 130609; 3774; 449; 0.00; 0.00; 0.00; 44330.00
12; ABC; 1/4/2022; 6:2:56; 6602; 600; 5947; 123892; 3667; 427; 0.00; 0.00; 0.00; 44330.00
13; ABC; 1/4/2022; 6:12:56; 7202; 600; 5775; 120440; 3415; 407; 0.00; 0.00; 0.00; 44330.00
14; ABC; 1/4/2022; 6:22:56; 7802; 600; 5995; 124761; 3657; 458; 0.00; 0.00; 0.00; 44330.00
15; ABC; 1/4/2022; 6:32:56; 8402; 600; 5976; 129047; 3922; 490; 0.00; 0.00; 0.00; 44330.00
16; ABC; 1/4/2022; 6:42:56; 9002; 600; 5969; 122401; 3803; 458; 0.00; 0.00; 0.00; 44330.00
17; ABC; 1/4/2022; 6:52:57; 9602; 600; 5824; 112102; 3538; 462; 0.00; 0.00; 0.00; 44330.00
18; ABC; 1/4/2022; 7:2:56; 10202; 600; 5429; 101008; 3388; 382; 0.00; 0.00; 0.00; 44330.00
19; ABC; 1/4/2022; 7:12:56; 10802; 600; 5562; 94513; 3531; 440; 0.00; 0.00; 0.00; 44330.00
