,num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 30/3/2022; 6:24:34; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 30/3/2022; 6:34:43; 600; 600; 6028; 145337; 5943; 528; 0.00; 0.00; 0.00; 44330.00
3; ABC; 30/3/2022; 6:44:43; 1200; 600; 6679; 176878; 6821; 574; 0.00; 0.00; 0.00; 44330.00
4; ABC; 30/3/2022; 6:54:44; 1801; 600; 7242; 214123; 7492; 543; 0.00; 0.00; 0.00; 44330.00
5; ABC; 30/3/2022; 7:4:44; 2401; 600; 7513; 230116; 7445; 573; 0.00; 0.00; 0.00; 44330.00
6; ABC; 30/3/2022; 7:14:45; 3002; 600; 7470; 226050; 6637; 514; 0.00; 0.00; 0.00; 44330.00
7; ABC; 30/3/2022; 7:24:45; 3602; 600; 7522; 231026; 7119; 575; 0.00; 0.00; 0.00; 44330.00
8; ABC; 30/3/2022; 7:34:46; 4203; 600; 7696; 238229; 7464; 583; 0.00; 0.00; 0.00; 44330.00
9; ABC; 30/3/2022; 7:44:46; 4803; 600; 7719; 244621; 7746; 549; 0.00; 0.00; 0.00; 44330.00
10; ABC; 30/3/2022; 7:54:46; 5403; 600; 7825; 245109; 7692; 563; 0.00; 0.00; 0.00; 44330.00
11; ABC; 30/3/2022; 8:4:46; 6003; 600; 7707; 239669; 7378; 558; 0.00; 0.00; 0.00; 44330.00
12; ABC; 30/3/2022; 8:14:46; 6603; 600; 7646; 235591; 7311; 572; 0.00; 0.00; 0.00; 44330.00
13; ABC; 30/3/2022; 8:24:47; 7203; 600; 7620; 231493; 7382; 608; 0.00; 0.00; 0.00; 44330.00
14; ABC; 30/3/2022; 8:34:47; 7804; 600; 7610; 231437; 7708; 616; 0.00; 0.00; 0.00; 44330.00
15; ABC; 30/3/2022; 8:44:47; 8404; 600; 7513; 233338; 7835; 563; 0.00; 0.00; 0.00; 44330.00
16; ABC; 30/3/2022; 8:54:48; 9004; 600; 7610; 236590; 8287; 614; 0.00; 0.00; 0.00; 44330.00
17; ABC; 30/3/2022; 9:4:48; 9605; 600; 7787; 240728; 8375; 602; 0.00; 0.00; 0.00; 44330.00
18; ABC; 30/3/2022; 9:14:48; 10205; 600; 7865; 249423; 8814; 603; 0.00; 0.00; 0.00; 44330.00
19; ABC; 30/3/2022; 9:24:48; 10805; 600; 8007; 256492; 9020; 589; 0.00; 0.00; 0.00; 44330.00
1; ABC; 18/3/2022; 4:42:29; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 18/3/2022; 4:52:39; 600; 600; 6083; 164303; 6434; 544; 0.00; 0.00; 0.00; 44330.00
3; ABC; 18/3/2022; 5:2:40; 1201; 600; 6653; 186649; 6866; 562; 0.00; 0.00; 0.00; 44330.00
4; ABC; 18/3/2022; 5:12:41; 1802; 600; 7220; 214733; 6843; 540; 0.00; 0.00; 0.00; 44330.00
5; ABC; 18/3/2022; 5:22:42; 2403; 600; 7719; 236538; 7064; 594; 0.00; 0.00; 0.00; 44330.00
6; ABC; 18/3/2022; 5:32:42; 3004; 600; 8249; 260391; 7733; 630; 0.00; 0.00; 0.00; 44330.00
7; ABC; 18/3/2022; 5:42:43; 3604; 600; 8728; 285906; 8441; 614; 0.00; 0.00; 0.00; 44330.00
8; ABC; 18/3/2022; 5:52:43; 4204; 600; 9291; 310693; 8998; 591; 0.00; 0.00; 0.00; 44330.00
9; ABC; 18/3/2022; 6:2:43; 4804; 600; 9716; 325279; 9692; 657; 0.00; 0.00; 0.00; 44330.00
10; ABC; 18/3/2022; 6:12:43; 5404; 600; 9848; 335943; 10096; 594; 0.00; 0.00; 0.00; 44330.00
11; ABC; 18/3/2022; 6:22:43; 6004; 600; 9915; 350759; 10297; 604; 0.00; 0.00; 0.00; 44330.00
12; ABC; 18/3/2022; 6:32:43; 6604; 600; 10407; 362881; 10327; 639; 0.00; 0.00; 0.00; 44330.00
13; ABC; 18/3/2022; 6:42:43; 7204; 600; 10544; 365704; 10520; 690; 0.00; 0.00; 0.00; 44330.00
14; ABC; 18/3/2022; 6:52:43; 7804; 600; 10345; 366596; 9984; 619; 0.00; 0.00; 0.00; 44330.00
15; ABC; 18/3/2022; 7:2:43; 8404; 600; 10637; 368146; 10039; 640; 0.00; 0.00; 0.00; 44330.00
16; ABC; 18/3/2022; 7:12:43; 9004; 600; 10470; 367206; 9725; 634; 0.00; 0.00; 0.00; 44330.00
