num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 23/1/2022; 15:14:16; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 23/1/2022; 15:24:25; 601; 600; 6079; 165528; 6276; 342; 0.00; 0.00; 0.00; 44330.00
3; ABC; 23/1/2022; 15:34:25; 1201; 600; 5881; 161632; 6539; 398; 0.00; 0.00; 0.00; 44330.00
4; ABC; 23/1/2022; 15:44:25; 1801; 600; 5977; 161027; 6457; 437; 0.00; 0.00; 0.00; 44330.00
5; ABC; 23/1/2022; 15:54:27; 2402; 600; 6020; 159743; 6371; 395; 0.00; 0.00; 0.00; 44330.00
6; ABC; 23/1/2022; 16:4:26; 3002; 600; 5746; 157606; 6252; 365; 0.00; 0.00; 0.00; 44330.00
7; ABC; 23/1/2022; 16:14:27; 3602; 600; 5911; 157169; 6303; 379; 0.00; 0.00; 0.00; 44330.00
8; ABC; 23/1/2022; 16:24:27; 4202; 600; 5691; 155517; 6258; 342; 0.00; 0.00; 0.00; 44330.00
9; ABC; 23/1/2022; 16:34:27; 4802; 600; 5793; 155808; 6382; 336; 0.00; 0.00; 0.00; 44330.00
10; ABC; 23/1/2022; 16:44:27; 5402; 600; 5841; 156148; 6380; 380; 0.00; 0.00; 0.00; 44330.00
11; ABC; 23/1/2022; 16:54:27; 6002; 600; 5846; 155775; 6478; 407; 0.00; 0.00; 0.00; 44330.00
12; ABC; 23/1/2022; 17:4:27; 6602; 600; 5814; 156675; 6283; 387; 0.00; 0.00; 0.00; 44330.00
13; ABC; 23/1/2022; 17:14:28; 7203; 600; 5789; 156582; 6561; 380; 0.00; 0.00; 0.00; 44330.00
14; ABC; 23/1/2022; 17:24:28; 7803; 600; 5873; 156157; 6514; 406; 0.00; 0.00; 0.00; 44330.00
15; ABC; 23/1/2022; 17:34:28; 8403; 600; 5904; 158150; 6371; 375; 0.00; 0.00; 0.00; 44330.00
16; ABC; 23/1/2022; 17:44:28; 9003; 600; 5911; 157997; 6558; 420; 0.00; 0.00; 0.00; 44330.00
17; ABC; 23/1/2022; 17:54:29; 9604; 600; 5914; 158781; 6570; 371; 0.00; 0.00; 0.00; 44330.00
18; ABC; 23/1/2022; 18:4:29; 10204; 600; 5834; 159224; 6548; 398; 0.00; 0.00; 0.00; 44330.00
19; ABC; 23/1/2022; 18:14:29; 10804; 600; 5752; 158710; 6453; 403; 0.00; 0.00; 0.00; 44330.00
20; ABC; 23/1/2022; 18:24:29; 11404; 600; 5872; 159988; 6508; 377; 0.00; 0.00; 0.00; 44330.00
21; ABC; 23/1/2022; 18:34:30; 12005; 600; 5841; 159660; 6609; 363; 0.00; 0.00; 0.00; 44330.00
22; ABC; 23/1/2022; 18:44:30; 12605; 600; 5915; 160114; 6557; 408; 0.00; 0.00; 0.00; 44330.00
23; ABC; 23/1/2022; 18:54:30; 13205; 600; 5869; 161054; 6585; 377; 0.00; 0.00; 0.00; 44330.00
24; ABC; 23/1/2022; 19:4:31; 13805; 600; 5935; 161018; 6584; 430; 0.00; 0.00; 0.00; 44330.00
25; ABC; 23/1/2022; 19:14:31; 14406; 600; 5727; 161033; 6413; 388; 0.00; 0.00; 0.00; 44330.00
26; ABC; 23/1/2022; 19:24:31; 15006; 600; 5778; 162166; 6775; 434; 0.00; 0.00; 0.00; 44330.00
27; ABC; 23/1/2022; 19:34:31; 15606; 600; 5961; 162312; 6596; 394; 0.00; 0.00; 0.00; 44330.00
