num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 18/3/2022; 7:34:52; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 18/3/2022; 7:45:1; 600; 600; 9638; 338525; 8528; 391; 0.00; 0.00; 0.00; 44330.00
3; ABC; 18/3/2022; 7:55:2; 1201; 600; 8224; 274945; 7277; 382; 0.00; 0.00; 0.00; 44330.00
4; ABC; 18/3/2022; 8:5:2; 1801; 600; 7256; 230951; 6363; 412; 0.00; 0.00; 0.00; 44330.00
5; ABC; 18/3/2022; 8:15:2; 2401; 600; 6528; 197454; 5939; 384; 0.00; 0.00; 0.00; 44330.00
6; ABC; 18/3/2022; 8:25:2; 3001; 600; 6094; 172474; 5633; 385; 0.00; 0.00; 0.00; 44330.00
7; ABC; 18/3/2022; 8:35:2; 3601; 600; 5796; 152662; 5471; 393; 0.00; 0.00; 0.00; 44330.00
8; ABC; 18/3/2022; 8:45:2; 4201; 600; 5476; 138339; 5063; 340; 0.00; 0.00; 0.00; 44330.00
9; ABC; 18/3/2022; 8:55:2; 4801; 600; 5385; 127484; 4827; 383; 0.00; 0.00; 0.00; 44330.00
10; ABC; 18/3/2022; 9:5:2; 5401; 600; 5073; 117942; 4687; 341; 0.00; 0.00; 0.00; 44330.00
11; ABC; 18/3/2022; 9:15:2; 6001; 600; 4937; 110391; 4813; 360; 0.00; 0.00; 0.00; 44330.00
12; ABC; 18/3/2022; 9:25:4; 6603; 600; 4797; 105291; 4649; 340; 0.00; 0.00; 0.00; 44330.00
13; ABC; 18/3/2022; 9:35:4; 7203; 600; 4653; 101134; 4680; 325; 0.00; 0.00; 0.00; 44330.00
14; ABC; 18/3/2022; 9:45:4; 7803; 600; 4514; 97601; 4560; 353; 0.00; 0.00; 0.00; 44330.00
15; ABC; 18/3/2022; 9:55:4; 8403; 600; 4578; 93578; 4521; 335; 0.00; 0.00; 0.00; 44330.00
16; ABC; 18/3/2022; 10:5:4; 9003; 600; 4630; 91128; 4554; 368; 0.00; 0.00; 0.00; 44330.00
17; ABC; 18/3/2022; 10:15:4; 9603; 600; 4562; 88723; 4521; 346; 0.00; 0.00; 0.00; 44330.00
18; ABC; 18/3/2022; 10:25:4; 10203; 600; 4466; 86888; 4467; 328; 0.00; 0.00; 0.00; 44330.00
19; ABC; 18/3/2022; 10:35:4; 10803; 600; 4540; 84720; 4485; 346; 0.00; 0.00; 0.00; 44330.00
20; ABC; 18/3/2022; 10:45:4; 11403; 600; 4341; 83201; 4422; 329; 0.00; 0.00; 0.00; 44330.00
21; ABC; 18/3/2022; 10:55:4; 12003; 600; 4353; 81842; 4238; 326; 0.00; 0.00; 0.00; 44330.00
22; ABC; 18/3/2022; 11:5:4; 12603; 600; 4412; 80868; 4398; 356; 0.00; 0.00; 0.00; 44330.00
23; ABC; 18/3/2022; 11:15:4; 13203; 600; 4379; 80439; 4320; 314; 0.00; 0.00; 0.00; 44330.00
24; ABC; 18/3/2022; 11:25:4; 13803; 600; 4356; 78406; 4383; 333; 0.00; 0.00; 0.00; 44330.00
25; ABC; 18/3/2022; 11:35:4; 14403; 600; 4308; 78291; 4289; 332; 0.00; 0.00; 0.00; 44330.00
26; ABC; 18/3/2022; 11:45:4; 15003; 600; 4316; 77361; 4377; 304; 0.00; 0.00; 0.00; 44330.00
27; ABC; 18/3/2022; 11:55:4; 15603; 600; 4276; 77820; 4333; 346; 0.00; 0.00; 0.00; 44330.00
28; ABC; 18/3/2022; 12:5:4; 16203; 600; 4142; 75981; 4335; 327; 0.00; 0.00; 0.00; 44330.00
29; ABC; 18/3/2022; 12:15:4; 16803; 600; 4368; 76094; 4290; 353; 0.00; 0.00; 0.00; 44330.00
30; ABC; 18/3/2022; 12:25:5; 17404; 600; 4323; 75945; 4266; 327; 0.00; 0.00; 0.00; 44330.00
31; ABC; 18/3/2022; 12:35:6; 18005; 600; 4215; 75733; 4214; 359; 0.00; 0.00; 0.00; 44330.00
32; ABC; 18/3/2022; 12:45:6; 18605; 600; 4330; 74700; 4292; 357; 0.00; 0.00; 0.00; 44330.00
33; ABC; 18/3/2022; 12:55:7; 19206; 600; 4263; 74820; 4302; 315; 0.00; 0.00; 0.00; 44330.00
34; ABC; 18/3/2022; 13:5:8; 19807; 600; 4282; 74651; 4308; 352; 0.00; 0.00; 0.00; 44330.00
35; ABC; 18/3/2022; 13:15:9; 20408; 600; 4209; 74844; 4162; 329; 0.00; 0.00; 0.00; 44330.00
36; ABC; 18/3/2022; 13:25:9; 21008; 600; 4191; 74635; 4290; 303; 0.00; 0.00; 0.00; 44330.00
37; ABC; 18/3/2022; 13:35:10; 21609; 600; 4246; 74549; 4250; 344; 0.00; 0.00; 0.00; 44330.00
38; ABC; 18/3/2022; 13:45:10; 22209; 600; 4345; 74184; 4395; 341; 0.00; 0.00; 0.00; 44330.00
39; ABC; 18/3/2022; 13:55:11; 22810; 600; 4261; 74470; 4344; 343; 0.00; 0.00; 0.00; 44330.00
40; ABC; 18/3/2022; 14:5:12; 23411; 600; 4240; 74168; 4330; 319; 0.00; 0.00; 0.00; 44330.00
41; ABC; 18/3/2022; 14:15:12; 24011; 600; 4196; 74280; 4346; 328; 0.00; 0.00; 0.00; 44330.00
42; ABC; 18/3/2022; 14:25:12; 24611; 600; 4236; 74192; 4348; 308; 0.00; 0.00; 0.00; 44330.00
43; ABC; 18/3/2022; 14:35:12; 25211; 600; 4187; 74694; 4302; 314; 0.00; 0.00; 0.00; 44330.00
44; ABC; 18/3/2022; 14:45:12; 25811; 600; 4221; 74025; 4400; 362; 0.00; 0.00; 0.00; 44330.00
45; ABC; 18/3/2022; 14:55:12; 26411; 600; 4272; 73864; 4293; 326; 0.00; 0.00; 0.00; 44330.00
46; ABC; 18/3/2022; 15:5:13; 27012; 600; 4412; 74467; 4499; 369; 0.00; 0.00; 0.00; 44330.00
47; ABC; 18/3/2022; 15:15:13; 27612; 600; 4297; 74229; 4310; 324; 0.00; 0.00; 0.00; 44330.00
48; ABC; 18/3/2022; 15:25:13; 28212; 600; 4219; 74143; 4330; 337; 0.00; 0.00; 0.00; 44330.00
49; ABC; 18/3/2022; 15:35:13; 28812; 600; 4242; 74298; 4399; 332; 0.00; 0.00; 0.00; 44330.00
50; ABC; 18/3/2022; 15:45:13; 29412; 600; 4145; 74470; 4443; 323; 0.00; 0.00; 0.00; 44330.00
51; ABC; 18/3/2022; 15:55:13; 30012; 600; 4258; 74197; 4242; 316; 0.00; 0.00; 0.00; 44330.00
52; ABC; 18/3/2022; 16:5:15; 30613; 600; 4279; 74540; 4299; 344; 0.00; 0.00; 0.00; 44330.00
53; ABC; 18/3/2022; 16:15:15; 31213; 600; 4441; 74710; 4248; 372; 0.00; 0.00; 0.00; 44330.00
54; ABC; 18/3/2022; 16:25:15; 31813; 600; 4167; 74010; 4240; 310; 0.00; 0.00; 0.00; 44330.00
55; ABC; 18/3/2022; 16:35:15; 32413; 600; 4191; 74613; 4348; 316; 0.00; 0.00; 0.00; 44330.00
56; ABC; 18/3/2022; 16:45:15; 33013; 600; 4240; 74414; 4393; 349; 0.00; 0.00; 0.00; 44330.00
57; ABC; 18/3/2022; 16:55:15; 33613; 600; 4227; 74951; 4299; 333; 0.00; 0.00; 0.00; 44330.00
58; ABC; 18/3/2022; 17:5:15; 34213; 600; 4380; 74945; 4358; 336; 0.00; 0.00; 0.00; 44330.00
59; ABC; 18/3/2022; 17:15:16; 34814; 600; 4398; 75200; 4415; 344; 0.00; 0.00; 0.00; 44330.00
60; ABC; 18/3/2022; 17:25:16; 35414; 600; 4337; 75217; 4461; 354; 0.00; 0.00; 0.00; 44330.00
61; ABC; 18/3/2022; 17:35:16; 36014; 600; 4245; 75151; 4312; 324; 0.00; 0.00; 0.00; 44330.00
62; ABC; 18/3/2022; 17:45:16; 36614; 600; 4276; 75439; 4328; 348; 0.00; 0.00; 0.00; 44330.00
63; ABC; 18/3/2022; 17:55:16; 37214; 600; 4309; 75596; 4329; 332; 0.00; 0.00; 0.00; 44330.00
64; ABC; 18/3/2022; 18:5:16; 37814; 600; 4365; 75518; 4439; 348; 0.00; 0.00; 0.00; 44330.00
65; ABC; 18/3/2022; 18:15:16; 38414; 600; 4221; 75810; 4352; 312; 0.00; 0.00; 0.00; 44330.00
66; ABC; 18/3/2022; 18:25:17; 39014; 600; 4332; 75919; 4364; 324; 0.00; 0.00; 0.00; 44330.00
67; ABC; 18/3/2022; 18:35:17; 39615; 600; 4238; 76338; 4416; 335; 0.00; 0.00; 0.00; 44330.00
68; ABC; 18/3/2022; 18:45:17; 40215; 600; 4313; 76072; 4292; 350; 0.00; 0.00; 0.00; 44330.00
69; ABC; 18/3/2022; 18:55:18; 40815; 600; 4277; 75856; 4351; 316; 0.00; 0.00; 0.00; 44330.00
70; ABC; 18/3/2022; 19:5:17; 41415; 600; 4408; 76455; 4501; 346; 0.00; 0.00; 0.00; 44330.00
71; ABC; 18/3/2022; 19:15:17; 42015; 600; 4313; 76691; 4407; 325; 0.00; 0.00; 0.00; 44330.00
72; ABC; 18/3/2022; 19:25:17; 42615; 600; 4238; 77441; 4461; 370; 0.00; 0.00; 0.00; 44330.00
73; ABC; 18/3/2022; 19:35:18; 43215; 600; 4364; 76893; 4420; 327; 0.00; 0.00; 0.00; 44330.00
74; ABC; 18/3/2022; 19:45:18; 43816; 600; 4407; 77932; 4511; 323; 0.00; 0.00; 0.00; 44330.00
75; ABC; 18/3/2022; 19:55:18; 44416; 600; 4381; 77439; 4649; 323; 0.00; 0.00; 0.00; 44330.00
76; ABC; 18/3/2022; 20:5:19; 45016; 600; 4415; 77619; 4560; 339; 0.00; 0.00; 0.00; 44330.00
77; ABC; 18/3/2022; 20:15:19; 45617; 600; 4232; 77744; 4410; 329; 0.00; 0.00; 0.00; 44330.00
78; ABC; 18/3/2022; 20:25:19; 46217; 600; 4358; 78174; 4497; 368; 0.00; 0.00; 0.00; 44330.00
79; ABC; 18/3/2022; 20:35:20; 46817; 600; 4410; 77430; 4402; 321; 0.00; 0.00; 0.00; 44330.00
80; ABC; 18/3/2022; 20:45:20; 47418; 600; 4337; 78785; 4339; 350; 0.00; 0.00; 0.00; 44330.00
81; ABC; 18/3/2022; 20:55:20; 48018; 600; 4364; 78564; 4481; 347; 0.00; 0.00; 0.00; 44330.00
82; ABC; 18/3/2022; 21:5:21; 48618; 600; 4445; 78414; 4446; 317; 0.00; 0.00; 0.00; 44330.00
83; ABC; 18/3/2022; 21:15:21; 49219; 600; 4387; 78941; 4524; 359; 0.00; 0.00; 0.00; 44330.00
84; ABC; 18/3/2022; 21:25:21; 49819; 600; 4236; 78949; 4600; 345; 0.00; 0.00; 0.00; 44330.00
85; ABC; 18/3/2022; 21:35:22; 50419; 600; 4353; 79159; 4619; 360; 0.00; 0.00; 0.00; 44330.00
86; ABC; 18/3/2022; 21:45:22; 51019; 600; 4462; 79215; 4606; 346; 0.00; 0.00; 0.00; 44330.00
87; ABC; 18/3/2022; 21:55:22; 51620; 600; 4389; 79678; 4587; 346; 0.00; 0.00; 0.00; 44330.00
88; ABC; 18/3/2022; 22:5:23; 52220; 600; 4431; 79645; 4625; 338; 0.00; 0.00; 0.00; 44330.00
89; ABC; 18/3/2022; 22:15:23; 52820; 600; 4279; 79925; 4634; 351; 0.00; 0.00; 0.00; 44330.00
90; ABC; 18/3/2022; 22:25:24; 53421; 600; 4425; 79911; 4621; 351; 0.00; 0.00; 0.00; 44330.00
91; ABC; 18/3/2022; 22:35:24; 54021; 600; 4338; 80448; 4580; 338; 0.00; 0.00; 0.00; 44330.00
92; ABC; 18/3/2022; 22:45:24; 54621; 600; 4451; 80285; 4526; 355; 0.00; 0.00; 0.00; 44330.00
93; ABC; 18/3/2022; 22:55:25; 55222; 600; 4554; 80267; 4488; 357; 0.00; 0.00; 0.00; 44330.00
94; ABC; 18/3/2022; 23:5:25; 55822; 600; 4430; 80856; 4548; 363; 0.00; 0.00; 0.00; 44330.00
95; ABC; 18/3/2022; 23:15:25; 56422; 600; 4409; 81035; 4521; 346; 0.00; 0.00; 0.00; 44330.00
96; ABC; 18/3/2022; 23:25:26; 57023; 600; 4402; 81624; 4595; 342; 0.00; 0.00; 0.00; 44330.00
97; ABC; 18/3/2022; 23:35:26; 57623; 600; 4486; 81478; 4635; 344; 0.00; 0.00; 0.00; 44330.00
98; ABC; 18/3/2022; 23:45:26; 58223; 600; 4597; 80995; 4593; 360; 0.00; 0.00; 0.00; 44330.00
99; ABC; 18/3/2022; 23:55:27; 58824; 600; 4406; 81926; 4555; 346; 0.00; 0.00; 0.00; 44330.00
100; ABC; 19/3/2022; 0:5:27; 59424; 600; 4439; 81763; 4705; 345; 0.00; 0.00; 0.00; 44330.00
101; ABC; 19/3/2022; 0:15:27; 60024; 600; 4484; 82759; 4620; 341; 0.00; 0.00; 0.00; 44330.00
102; ABC; 19/3/2022; 0:25:26; 60624; 600; 4479; 82079; 4751; 382; 0.00; 0.00; 0.00; 44330.00
103; ABC; 19/3/2022; 0:35:27; 61224; 600; 4515; 82723; 4681; 370; 0.00; 0.00; 0.00; 44330.00
