,num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
0,1; ABC; 5/2/2022; 4:47:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
1,2; ABC; 5/2/2022; 4:57:45; 604; 600; 8549; 322561; 10058; 647; 0.00; 0.00; 0.00; 44330.00
2,3; ABC; 5/2/2022; 5:7:45; 1205; 600; 12705; 486855; 13632; 635; 0.00; 0.00; 0.00; 44330.00
3,4; ABC; 5/2/2022; 5:17:46; 1805; 600; 17001; 643718; 16616; 636; 0.00; 0.00; 0.00; 44330.00
4,5; ABC; 5/2/2022; 5:27:45; 2405; 600; 19387; 711007; 13262; 651; 0.00; 0.00; 0.00; 44330.00
5,6; ABC; 5/2/2022; 5:37:46; 3005; 600; 21504; 755393; 13321; 640; 0.00; 0.00; 0.00; 44330.00
6,7; ABC; 5/2/2022; 5:47:46; 3605; 600; 23775; 810159; 15840; 641; 0.00; 0.00; 0.00; 44330.00
7,8; ABC; 5/2/2022; 5:57:46; 4205; 600; 25945; 862047; 15520; 651; 0.00; 0.00; 0.00; 44330.00
8,9; ABC; 5/2/2022; 6:7:47; 4806; 600; 26851; 877110; 11995; 644; 0.00; 0.00; 0.00; 44330.00
9,10; ABC; 5/2/2022; 6:17:47; 5406; 600; 27451; 874488; 11252; 640; 0.00; 0.00; 0.00; 44330.00
10,11; ABC; 5/2/2022; 6:27:47; 6006; 600; 26904; 870376; 10832; 610; 0.00; 0.00; 0.00; 44330.00
11,12; ABC; 5/2/2022; 6:37:48; 6607; 600; 25635; 819125; 8094; 664; 0.00; 0.00; 0.00; 44330.00
12,13; ABC; 5/2/2022; 6:47:48; 7207; 600; 23883; 768692; 8605; 619; 0.00; 0.00; 0.00; 44330.00
13,14; ABC; 5/2/2022; 6:57:49; 7808; 600; 23356; 755557; 9303; 670; 0.00; 0.00; 0.00; 44330.00
14,1; ABC; 5/2/2022; 13:5:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
15,2; ABC; 5/2/2022; 13:15:55; 614; 600; 4706; 124313; 6314; 495; 0.00; 0.00; 0.00; 44330.00
16,3; ABC; 5/2/2022; 13:25:55; 1214; 600; 6301; 216235; 10708; 563; 0.00; 0.00; 0.00; 44330.00
17,4; ABC; 5/2/2022; 13:35:56; 1815; 600; 9534; 365242; 17826; 597; 0.00; 0.00; 0.00; 44330.00
18,5; ABC; 5/2/2022; 13:45:56; 2415; 600; 12869; 509575; 25913; 654; 0.00; 0.00; 0.00; 44330.00
19,6; ABC; 5/2/2022; 13:55:56; 3015; 600; 17266; 652761; 32252; 659; 0.00; 0.00; 0.00; 44330.00
20,7; ABC; 5/2/2022; 14:5:56; 3615; 600; 21477; 769996; 38241; 665; 0.00; 0.00; 0.00; 44330.00
21,8; ABC; 5/2/2022; 14:15:56; 4215; 600; 24803; 862719; 43139; 608; 0.00; 0.00; 0.00; 44330.00
22,9; ABC; 5/2/2022; 14:25:56; 4815; 600; 28124; 944172; 47744; 683; 0.00; 0.00; 0.00; 44330.00
23,10; ABC; 5/2/2022; 14:35:56; 5415; 600; 31247; 1010533; 52210; 652; 0.00; 0.00; 0.00; 44330.00
24,11; ABC; 5/2/2022; 14:45:56; 6015; 600; 32886; 1063017; 54556; 654; 0.00; 0.00; 0.00; 44330.00
25,12; ABC; 5/2/2022; 14:55:56; 6615; 600; 34533; 1096330; 55809; 681; 0.00; 0.00; 0.00; 44330.00
26,13; ABC; 5/2/2022; 15:5:56; 7215; 600; 35676; 1119507; 57800; 662; 0.00; 0.00; 0.00; 44330.00
27,14; ABC; 5/2/2022; 15:15:56; 7815; 600; 36296; 1139697; 58930; 660; 0.00; 0.00; 0.00; 44330.00
28,15; ABC; 5/2/2022; 15:25:56; 8416; 600; 36802; 1158235; 59681; 681; 0.00; 0.00; 0.00; 44330.00
29,16; ABC; 5/2/2022; 15:35:57; 9016; 600; 37304; 1162000; 59754; 667; 0.00; 0.00; 0.00; 44330.00
30,17; ABC; 5/2/2022; 15:45:57; 9616; 600; 37742; 1172330; 60016; 701; 0.00; 0.00; 0.00; 44330.00
31,18; ABC; 5/2/2022; 15:55:57; 10216; 600; 37675; 1173195; 59753; 655; 0.00; 0.00; 0.00; 44330.00
32,19; ABC; 5/2/2022; 16:5:57; 10816; 600; 38225; 1180139; 60424; 687; 0.00; 0.00; 0.00; 44330.00
33,20; ABC; 5/2/2022; 16:15:57; 11416; 600; 38171; 1183452; 60967; 688; 0.00; 0.00; 0.00; 44330.00
34,1; ABC; 5/2/2022; 8:10:57; 0; 600; 0; 1; 0; 0; 0.00; 0.00; 0.00; 44330.00
35,2; ABC; 5/2/2022; 8:21:6; 600; 600; 15643; 698995; 20371; 607; 0.00; 0.00; 0.00; 44330.00
36,3; ABC; 5/2/2022; 8:31:6; 1200; 600; 18041; 767067; 25568; 601; 0.00; 0.00; 0.00; 44330.00
37,4; ABC; 5/2/2022; 8:41:6; 1800; 600; 20439; 827556; 29370; 643; 0.00; 0.00; 0.00; 44330.00
38,5; ABC; 5/2/2022; 8:51:6; 2400; 600; 22093; 872652; 33584; 705; 0.00; 0.00; 0.00; 44330.00
39,6; ABC; 5/2/2022; 9:1:6; 3000; 600; 23899; 910814; 37034; 666; 0.00; 0.00; 0.00; 44330.00
40,7; ABC; 5/2/2022; 9:11:6; 3601; 600; 25270; 951389; 40171; 705; 0.00; 0.00; 0.00; 44330.00
41,8; ABC; 5/2/2022; 9:21:7; 4201; 600; 26665; 982616; 43073; 646; 0.00; 0.00; 0.00; 44330.00
42,9; ABC; 5/2/2022; 9:31:8; 4802; 600; 27959; 1017001; 47808; 672; 0.00; 0.00; 0.00; 44330.00
43,10; ABC; 5/2/2022; 9:41:8; 5402; 600; 29389; 1040281; 51624; 683; 0.00; 0.00; 0.00; 44330.00
44,11; ABC; 5/2/2022; 9:51:8; 6002; 600; 29235; 1056034; 52904; 671; 0.00; 0.00; 0.00; 44330.00
45,12; ABC; 5/2/2022; 10:1:8; 6602; 600; 29690; 1078269; 54579; 643; 0.00; 0.00; 0.00; 44330.00
46,13; ABC; 5/2/2022; 10:11:8; 7202; 600; 30363; 1091022; 55901; 633; 0.00; 0.00; 0.00; 44330.00
47,14; ABC; 5/2/2022; 10:21:8; 7802; 600; 31441; 1108269; 57583; 663; 0.00; 0.00; 0.00; 44330.00
